,laptop_ID,Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Memory_Type
975,989,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,8,128,1047.3028,1168.1394776119403,2.04,979.0,1388.7893357058124
976,990,1086.3844444444444,782.0786244841817,14.0,1015.0152482269503,4,508,969.882738654147,1686.6513333333332,1.7,1002.0,810.746
977,991,1104.1693670886077,1282.401652892562,15.6,1595.7791081593928,16,512,1651.3279574468086,1168.1394776119403,2.3,1799.0,1388.7893357058124
978,992,1067.7748540145985,782.0786244841817,15.6,1595.7791081593928,6,1024,969.882738654147,1168.1394776119403,2.04,579.0,655.29776
979,993,1104.1693670886077,1731.3806341463417,17.3,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,2.99,1749.0,1388.7893357058124
980,994,1186.06898989899,1282.401652892562,15.6,1595.7791081593928,12,512,969.882738654147,1168.1394776119403,2.19,1299.0,1388.7893357058124
981,995,1267.8125,782.0786244841817,13.3,1015.0152482269503,4,128,969.882738654147,1686.6513333333332,1.2,1195.0,1388.7893357058124
982,996,1086.3844444444444,782.0786244841817,15.6,658.7957142857142,6,256,864.4795121951221,1168.1394776119403,2.2,549.0,1388.7893357058124
983,997,729.0,782.0786244841817,15.6,1015.0152482269503,4,256,969.882738654147,1168.1394776119403,2.3,649.0,1388.7893357058124
984,998,1267.8125,782.0786244841817,14.0,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,1.75,915.0,655.29776
985,999,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,4,500,588.5527777777778,1168.1394776119403,2.25,599.0,655.29776
986,1000,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,8,1024,969.882738654147,1168.1394776119403,2.04,806.0,655.29776
987,1001,1086.3844444444444,1731.3806341463417,15.6,1595.7791081593928,8,128,1651.3279574468086,1168.1394776119403,2.5,1189.0,1388.7893357058124
988,1002,1186.06898989899,782.0786244841817,15.6,1595.7791081593928,8,1024,796.1311538461539,1168.1394776119403,2.36,749.0,655.29776
989,1003,1186.06898989899,782.0786244841817,14.0,1015.0152482269503,8,128,969.882738654147,1168.1394776119403,1.6,1119.0,1388.7893357058124
990,1004,1067.7748540145985,636.232,12.5,1324.2315789473685,8,512,969.882738654147,1168.1394776119403,0.97,1908.0,1388.7893357058124
991,1005,1067.7748540145985,782.0786244841817,15.6,541.625955882353,4,128,606.0823529411764,1168.1394776119403,2.1,499.0,1388.7893357058124
992,1006,1086.3844444444444,782.0786244841817,15.6,312.236375,4,128,969.882738654147,587.9733333333334,1.9,270.62,1388.7893357058124
993,1007,1086.3844444444444,782.0786244841817,15.6,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,2.3,1349.0,1388.7893357058124
994,1008,1186.06898989899,1282.401652892562,13.3,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.68,889.0,1388.7893357058124
995,1009,1104.1693670886077,782.0786244841817,13.3,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.4,1150.0,1388.7893357058124
996,1010,1067.7748540145985,1548.2303571428572,13.3,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.11,1349.0,1388.7893357058124
997,1011,626.7758252427184,782.0786244841817,15.6,421.1222222222222,4,500,969.882738654147,1168.1394776119403,2.4,380.0,655.29776
998,1012,1104.1693670886077,1731.3806341463417,15.6,1595.7791081593928,16,256,1651.3279574468086,1168.1394776119403,2.5,1799.0,1388.7893357058124
999,1013,1067.7748540145985,1548.2303571428572,14.0,1595.7791081593928,8,512,969.882738654147,1168.1394776119403,1.48,2089.0,1388.7893357058124
1000,1014,626.7758252427184,1731.3806341463417,15.6,1595.7791081593928,8,128,1651.3279574468086,1168.1394776119403,2.7,1260.0,1388.7893357058124
1001,1015,1067.7748540145985,782.0786244841817,13.3,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.34,1189.0,1388.7893357058124
1002,1016,1186.06898989899,782.0786244841817,15.6,541.625955882353,4,128,969.882738654147,1168.1394776119403,2.18,547.0,1388.7893357058124
1003,1017,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,1.64,779.0,655.29776
1004,1018,1267.8125,782.0786244841817,13.3,1015.0152482269503,4,128,969.882738654147,1168.1394776119403,1.2,1195.0,1388.7893357058124
1005,1019,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,256,969.882738654147,1168.1394776119403,1.48,1099.99,1388.7893357058124
1006,1020,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,256,969.882738654147,1168.1394776119403,1.95,1205.0,1388.7893357058124
1007,1021,1067.7748540145985,1548.2303571428572,14.0,1595.7791081593928,8,256,969.882738654147,1686.6513333333332,1.43,1449.0,1388.7893357058124
1008,1022,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,8,256,1047.3028,1168.1394776119403,1.64,1049.26,1388.7893357058124
1009,1023,1067.7748540145985,782.0786244841817,14.0,541.625955882353,4,500,969.882738654147,1168.1394776119403,1.64,684.0,655.29776
1010,1024,1186.06898989899,1731.3806341463417,15.6,1015.0152482269503,8,1024,1651.3279574468086,1168.1394776119403,2.65,949.0,810.746
1011,1025,1067.7748540145985,1548.2303571428572,12.5,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,1.26,1539.0,655.29776
1012,1026,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,256,969.882738654147,1168.1394776119403,1.48,1590.0,1388.7893357058124
1013,1027,1067.7748540145985,1548.2303571428572,14.0,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.54,1887.21,1388.7893357058124
1014,1028,1067.7748540145985,782.0786244841817,13.3,541.625955882353,4,500,969.882738654147,1168.1394776119403,1.49,800.0,655.29776
1015,1029,1267.8125,782.0786244841817,13.3,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.5,1210.0,1388.7893357058124
1016,1030,1067.7748540145985,782.0786244841817,15.6,541.625955882353,4,256,969.882738654147,1168.1394776119403,2.04,769.99,1388.7893357058124
1017,1031,1086.3844444444444,782.0786244841817,17.3,1595.7791081593928,16,512,2968.0,1686.6513333333332,2.4,2968.0,1388.7893357058124
1018,1032,1267.8125,782.0786244841817,14.0,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.47,1490.0,1388.7893357058124
1019,1033,1067.7748540145985,782.0786244841817,14.0,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.43,2229.0,1388.7893357058124
1020,1034,1186.06898989899,1282.401652892562,15.6,541.625955882353,4,1024,969.882738654147,1168.1394776119403,2.08,795.99,655.29776
1021,1035,1267.8125,1548.2303571428572,13.3,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.2,1590.0,1388.7893357058124
1022,1036,1067.7748540145985,782.0786244841817,13.3,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.11,1149.0,1388.7893357058124
1023,1037,1067.7748540145985,782.0786244841817,14.0,1595.7791081593928,8,256,1047.3028,1168.1394776119403,1.64,1185.43,1388.7893357058124
1024,1038,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,8,500,969.882738654147,1168.1394776119403,2.09,1046.44,655.29776
1025,1039,1067.7748540145985,1548.2303571428572,12.5,1015.0152482269503,4,256,969.882738654147,1168.1394776119403,1.26,1559.0,1388.7893357058124
1026,1040,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,2.31,1189.0,655.29776
1027,1041,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,1.95,1060.0,655.29776
1028,1042,1186.06898989899,1548.2303571428572,13.3,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.29,1624.0,1388.7893357058124
1029,1043,1067.7748540145985,782.0786244841817,17.3,1015.0152482269503,8,256,1047.3028,1168.1394776119403,2.63,1080.0,1388.7893357058124
1030,1044,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,4,256,969.882738654147,1168.1394776119403,1.64,973.0,1388.7893357058124
1031,1045,626.7758252427184,782.0786244841817,15.6,445.8241666666667,6,1024,588.5527777777778,1168.1394776119403,2.1,409.0,655.29776
1032,1046,1728.908148148148,1731.3806341463417,17.3,1595.7791081593928,8,128,1651.3279574468086,1168.1394776119403,2.7,1191.8,1388.7893357058124
1033,1047,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,8,256,969.882738654147,1686.6513333333332,1.95,1195.0,1388.7893357058124
1034,1048,1067.7748540145985,782.0786244841817,15.6,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.84,1228.99,1388.7893357058124
1035,1049,1067.7748540145985,1548.2303571428572,12.5,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.26,1349.0,1388.7893357058124
1036,1050,1067.7748540145985,782.0786244841817,15.6,1015.0152482269503,4,500,969.882738654147,1168.1394776119403,2.04,742.0,655.29776
1037,1051,1267.8125,1548.2303571428572,14.0,1595.7791081593928,8,256,969.882738654147,1168.1394776119403,1.47,1725.0,1388.7893357058124
1038,1052,1186.06898989899,782.0786244841817,15.6,1015.0152482269503,8,256,969.882738654147,1686.6513333333332,2.09,1062.95,1388.7893357058124
1039,1053,1067.7748540145985,782.0786244841817,14.0,1015.0152482269503,8,256,969.882738654147,1168.1394776119403,1.64,1010.51,1388.7893357058124
1040,1054,1086.3844444444444,1282.401652892562,15.6,1595.7791081593928,4,256,969.882738654147,1168.1394776119403,1.8,847.0,1388.7893357058124
1041,1055,217.425,782.0786244841817,14.0,203.4,2,32,969.882738654147,1168.1394776119403,1.45,210.8,527.6082666666667
1042,1056,1267.8125,782.0786244841817,15.6,1595.7791081593928,16,256,1403.6666666666667,1168.1394776119403,2.4,1425.0,1388.7893357058124
